created_index,created_time,zone_type,low,high,touches,score,label
380,2021-01-07 19:15:00,resistance,1.227122,1.228481,8,34,weak
385,2021-01-07 20:30:00,resistance,1.227122,1.228481,9,34,weak
401,2021-01-08 00:30:00,support,1.225221,1.225708,4,62,medium
407,2021-01-08 02:00:00,support,1.225221,1.225781,5,54,weak
412,2021-01-08 03:15:00,resistance,1.22674,1.228481,10,24,weak
430,2021-01-08 07:45:00,resistance,1.225234,1.226057,4,52,weak
437,2021-01-08 09:30:00,support,1.223221,1.22486,6,38,weak
438,2021-01-08 09:45:00,resistance,1.22674,1.228727,11,30,weak
444,2021-01-08 11:15:00,support,1.22188,1.223639,3,76,strong
450,2021-01-08 12:45:00,resistance,1.225234,1.226652,5,50,weak
547,2021-01-11 13:00:00,resistance,1.216743,1.217607,3,80,strong
605,2021-01-12 03:30:00,resistance,1.216743,1.217658,4,66,medium
620,2021-01-12 07:15:00,support,1.213796,1.214258,3,80,strong
627,2021-01-12 09:00:00,resistance,1.216306,1.217658,5,58,medium
637,2021-01-12 11:30:00,resistance,1.216306,1.217658,6,52,weak
694,2021-01-13 01:45:00,support,1.220414,1.220815,3,74,strong
725,2021-01-13 09:30:00,resistance,1.217678,1.218163,3,72,strong
729,2021-01-13 10:30:00,support,1.214819,1.215617,3,72,strong
732,2021-01-13 11:15:00,resistance,1.217678,1.218291,4,68,medium
740,2021-01-13 13:15:00,support,1.212998,1.214156,3,66,medium
743,2021-01-13 14:00:00,resistance,1.217333,1.218291,5,54,weak
754,2021-01-13 16:45:00,support,1.214761,1.215617,4,56,weak
760,2021-01-13 18:15:00,resistance,1.216215,1.217658,7,34,weak
772,2021-01-13 21:15:00,resistance,1.217109,1.218291,6,42,weak
777,2021-01-13 22:30:00,support,1.212998,1.214156,4,56,weak
786,2021-01-14 00:45:00,support,1.212998,1.214436,5,48,weak
791,2021-01-14 02:00:00,resistance,1.215456,1.21632,3,60,medium
798,2021-01-14 03:45:00,support,1.212998,1.214436,6,42,weak
806,2021-01-14 05:45:00,resistance,1.216589,1.218291,7,24,weak
838,2021-01-14 13:45:00,resistance,1.216589,1.218291,8,30,weak
843,2021-01-14 15:00:00,support,1.214486,1.215617,5,44,weak
850,2021-01-14 16:45:00,resistance,1.216452,1.218291,9,24,weak
862,2021-01-14 19:45:00,support,1.214486,1.215617,6,32,weak
864,2021-01-14 20:15:00,resistance,1.216185,1.218291,10,24,weak
872,2021-01-14 22:15:00,support,1.214261,1.215617,7,24,weak
875,2021-01-14 23:00:00,resistance,1.2154,1.21632,4,46,weak
890,2021-01-15 02:45:00,support,1.212998,1.214436,7,24,weak
895,2021-01-15 04:00:00,support,1.210901,1.211923,3,70,medium
899,2021-01-15 05:00:00,resistance,1.214014,1.21512,3,56,weak
905,2021-01-15 06:30:00,resistance,1.214014,1.21512,4,52,weak
950,2021-01-17 17:45:00,support,1.207431,1.208396,3,68,medium
970,2021-01-17 22:45:00,resistance,1.208319,1.208752,3,80,strong
988,2021-01-18 03:15:00,resistance,1.208319,1.208793,4,76,strong
991,2021-01-18 04:00:00,support,1.206394,1.206813,3,80,strong
1017,2021-01-18 10:30:00,support,1.206173,1.206813,4,66,medium
1025,2021-01-18 12:30:00,resistance,1.20801,1.208793,5,52,weak
1038,2021-01-18 15:45:00,resistance,1.20801,1.208793,6,46,weak
1043,2021-01-18 17:00:00,support,1.207431,1.208396,4,60,medium
1046,2021-01-18 17:45:00,resistance,1.20801,1.208793,7,38,weak
1052,2021-01-18 19:15:00,support,1.207359,1.208396,5,52,weak
1070,2021-01-18 23:45:00,resistance,1.209799,1.210224,3,70,medium
1084,2021-01-19 03:15:00,support,1.207359,1.208658,6,42,weak
1100,2021-01-19 07:15:00,resistance,1.213627,1.21512,5,38,weak
1112,2021-01-19 10:15:00,resistance,1.213627,1.21512,6,32,weak
1118,2021-01-19 11:45:00,resistance,1.213372,1.21512,7,24,weak
1121,2021-01-19 12:30:00,support,1.210901,1.211923,4,62,medium
1142,2021-01-19 17:45:00,resistance,1.212891,1.213466,3,60,medium
1143,2021-01-19 18:00:00,support,1.212208,1.212442,3,80,strong
1153,2021-01-19 20:30:00,resistance,1.213372,1.21512,8,24,weak
1156,2021-01-19 21:15:00,support,1.212998,1.214436,8,24,weak
1161,2021-01-19 22:30:00,resistance,1.213372,1.21512,9,24,weak
1170,2021-01-20 00:45:00,support,1.212998,1.214436,9,24,weak
1177,2021-01-20 02:30:00,resistance,1.2154,1.21632,5,38,weak
1183,2021-01-20 04:00:00,resistance,1.215699,1.218291,11,24,weak
1192,2021-01-20 06:15:00,support,1.210901,1.211923,5,44,weak
1210,2021-01-20 10:45:00,support,1.207359,1.208658,7,40,weak
1214,2021-01-20 11:45:00,resistance,1.211166,1.212032,3,76,strong
1226,2021-01-20 14:45:00,resistance,1.210915,1.212032,4,60,medium
1233,2021-01-20 16:30:00,support,1.209831,1.210435,3,64,medium
1235,2021-01-20 17:00:00,resistance,1.210712,1.212032,5,52,weak
1241,2021-01-20 18:30:00,support,1.209831,1.21046,4,60,medium
1245,2021-01-20 19:30:00,resistance,1.210712,1.212032,6,42,weak
1249,2021-01-20 20:30:00,support,1.210857,1.211923,6,32,weak
1251,2021-01-20 21:00:00,resistance,1.212891,1.213466,4,52,weak
1257,2021-01-20 22:30:00,support,1.212202,1.212442,4,72,strong
1258,2021-01-20 22:45:00,resistance,1.213293,1.21512,10,24,weak
1269,2021-01-21 01:30:00,resistance,1.213293,1.21512,11,24,weak
1280,2021-01-21 04:15:00,support,1.210857,1.211923,7,30,weak
1288,2021-01-21 06:15:00,resistance,1.213293,1.21512,12,24,weak
1292,2021-01-21 07:15:00,support,1.212998,1.214436,10,24,weak
1299,2021-01-21 09:00:00,support,1.21388,1.215617,8,24,weak
1302,2021-01-21 09:45:00,resistance,1.215699,1.218291,12,24,weak
1305,2021-01-21 10:30:00,support,1.213415,1.215617,9,24,weak
1309,2021-01-21 11:30:00,resistance,1.215699,1.218291,13,24,weak
1316,2021-01-21 13:15:00,support,1.213409,1.215617,10,24,weak
1330,2021-01-21 16:45:00,resistance,1.215699,1.218291,14,24,weak
1336,2021-01-21 18:15:00,support,1.216346,1.21683,3,56,weak
1342,2021-01-21 19:45:00,support,1.216346,1.21683,4,52,weak
1344,2021-01-21 20:15:00,resistance,1.215699,1.218291,15,24,weak
1348,2021-01-21 21:15:00,support,1.216072,1.21683,5,38,weak
1351,2021-01-21 22:00:00,resistance,1.215699,1.218291,16,24,weak
1359,2021-01-22 00:00:00,resistance,1.215699,1.218291,17,24,weak
1376,2021-01-22 04:15:00,support,1.213409,1.215617,11,24,weak
1382,2021-01-22 05:45:00,support,1.215808,1.21683,6,38,weak
1400,2021-01-22 10:15:00,support,1.21528,1.21683,7,24,weak
1404,2021-01-22 11:15:00,resistance,1.215699,1.21865,18,24,weak
1410,2021-01-22 12:45:00,resistance,1.215699,1.21865,19,24,weak
1414,2021-01-22 13:45:00,support,1.21528,1.21683,8,24,weak
1420,2021-01-22 15:15:00,resistance,1.215699,1.21865,20,24,weak
1423,2021-01-22 16:00:00,support,1.21528,1.21683,9,24,weak
1431,2021-01-24 18:00:00,resistance,1.215699,1.21865,21,24,weak
1431,2021-01-24 18:00:00,support,1.21528,1.21683,10,24,weak
1442,2021-01-24 20:45:00,resistance,1.215699,1.21865,22,24,weak
1446,2021-01-24 21:45:00,support,1.21528,1.21683,11,24,weak
1459,2021-01-25 01:00:00,support,1.217445,1.218384,3,50,weak
1463,2021-01-25 02:00:00,resistance,1.215699,1.21865,23,24,weak
1470,2021-01-25 03:45:00,resistance,1.215699,1.21865,24,24,weak
1480,2021-01-25 06:15:00,support,1.213409,1.215617,12,24,weak
1486,2021-01-25 07:45:00,resistance,1.215699,1.21865,25,24,weak
1499,2021-01-25 11:00:00,support,1.210857,1.211923,8,30,weak
1510,2021-01-25 13:45:00,resistance,1.213293,1.21512,13,24,weak
1521,2021-01-25 16:30:00,support,1.213409,1.215617,13,24,weak
1529,2021-01-25 18:30:00,resistance,1.213293,1.21512,14,24,weak
1529,2021-01-25 18:30:00,support,1.213409,1.215617,14,24,weak
1538,2021-01-25 20:45:00,support,1.213251,1.215617,15,24,weak
1539,2021-01-25 21:00:00,support,1.213251,1.215617,16,24,weak
1543,2021-01-25 22:00:00,resistance,1.213293,1.21512,15,24,weak
1563,2021-01-26 03:00:00,resistance,1.213032,1.21512,16,24,weak
1566,2021-01-26 03:45:00,support,1.210649,1.211923,9,24,weak
1570,2021-01-26 04:45:00,resistance,1.213032,1.21512,17,24,weak
1574,2021-01-26 05:45:00,support,1.210649,1.212265,10,24,weak
1594,2021-01-26 10:45:00,support,1.215262,1.21683,12,24,weak
1597,2021-01-26 11:30:00,resistance,1.215699,1.21865,26,24,weak
1602,2021-01-26 12:45:00,support,1.213251,1.215617,17,24,weak
1614,2021-01-26 15:45:00,resistance,1.215699,1.21865,27,24,weak
1619,2021-01-26 17:00:00,resistance,1.215699,1.21865,28,24,weak
1622,2021-01-26 17:45:00,support,1.215262,1.21683,13,24,weak
1627,2021-01-26 19:00:00,support,1.215262,1.21683,14,24,weak
1633,2021-01-26 20:30:00,resistance,1.215699,1.21865,29,24,weak
1648,2021-01-27 00:15:00,support,1.215255,1.21683,15,24,weak
1655,2021-01-27 02:00:00,resistance,1.215699,1.21865,30,24,weak
1671,2021-01-27 06:00:00,support,1.210649,1.212265,11,24,weak
1674,2021-01-27 06:45:00,resistance,1.213032,1.21512,18,24,weak
1690,2021-01-27 10:45:00,support,1.205613,1.206813,5,50,weak
1707,2021-01-27 15:00:00,resistance,1.212723,1.21512,19,24,weak
1716,2021-01-27 17:15:00,resistance,1.210712,1.212032,7,30,weak
1730,2021-01-27 20:45:00,support,1.207359,1.208658,8,24,weak
1734,2021-01-27 21:45:00,resistance,1.210461,1.212032,8,24,weak
1739,2021-01-27 23:00:00,support,1.207359,1.208875,9,24,weak
1744,2021-01-28 00:15:00,support,1.207359,1.208875,10,24,weak
1751,2021-01-28 02:00:00,resistance,1.210461,1.212032,9,24,weak
1757,2021-01-28 03:30:00,support,1.207359,1.208875,11,30,weak
1760,2021-01-28 04:15:00,resistance,1.210461,1.212032,10,30,weak
1770,2021-01-28 06:45:00,resistance,1.210461,1.212032,11,24,weak
1773,2021-01-28 07:30:00,support,1.209037,1.209742,3,62,medium
1776,2021-01-28 08:15:00,resistance,1.210461,1.212032,12,24,weak
1780,2021-01-28 09:15:00,support,1.207359,1.208998,12,24,weak
1783,2021-01-28 10:00:00,resistance,1.212723,1.21512,20,24,weak
1788,2021-01-28 11:15:00,resistance,1.212723,1.21512,21,24,weak
1794,2021-01-28 12:45:00,support,1.210649,1.212265,12,24,weak
1805,2021-01-28 15:30:00,resistance,1.212723,1.21512,22,24,weak
1813,2021-01-28 17:30:00,support,1.210649,1.212265,13,24,weak
1816,2021-01-28 18:15:00,resistance,1.212723,1.21512,23,24,weak
1826,2021-01-28 20:45:00,support,1.209831,1.210479,5,44,weak
1829,2021-01-28 21:30:00,resistance,1.210461,1.212032,13,24,weak
1839,2021-01-29 00:00:00,support,1.209037,1.209742,4,46,weak
1842,2021-01-29 00:45:00,resistance,1.209799,1.210288,4,52,weak
1845,2021-01-29 01:30:00,support,1.209037,1.209742,5,38,weak
1851,2021-01-29 03:00:00,resistance,1.210461,1.212032,14,24,weak
1855,2021-01-29 04:00:00,support,1.209037,1.209847,6,38,weak
1871,2021-01-29 08:00:00,support,1.212485,1.214436,11,24,weak
1875,2021-01-29 09:00:00,support,1.212482,1.214436,12,24,weak
1879,2021-01-29 10:00:00,resistance,1.215421,1.21865,31,24,weak
1886,2021-01-29 11:45:00,resistance,1.215287,1.21865,32,24,weak
1886,2021-01-29 11:45:00,support,1.212257,1.214436,13,24,weak
1896,2021-01-29 14:15:00,support,1.212257,1.214436,14,24,weak
1901,2021-01-29 15:30:00,support,1.212257,1.214436,15,24,weak
1906,2021-01-29 16:45:00,resistance,1.212723,1.21512,24,24,weak
1919,2021-01-31 20:00:00,support,1.211913,1.214436,16,24,weak
1925,2021-01-31 21:30:00,resistance,1.212723,1.21512,25,24,weak
1929,2021-01-31 22:30:00,support,1.211913,1.214436,17,24,weak
1935,2021-02-01 00:00:00,resistance,1.212723,1.21512,26,24,weak
1941,2021-02-01 01:30:00,support,1.211913,1.214436,18,24,weak
1944,2021-02-01 02:15:00,resistance,1.212723,1.21512,27,24,weak
1952,2021-02-01 04:15:00,resistance,1.212723,1.21512,28,24,weak
1955,2021-02-01 05:00:00,support,1.207359,1.208998,13,24,weak
1961,2021-02-01 06:30:00,support,1.206759,1.208998,14,24,weak
1968,2021-02-01 08:15:00,resistance,1.20801,1.209029,8,30,weak
1970,2021-02-01 08:45:00,support,1.206759,1.208998,15,24,weak
1977,2021-02-01 10:30:00,resistance,1.209799,1.210288,5,50,weak
1991,2021-02-01 14:00:00,support,1.205613,1.206813,6,38,weak
1992,2021-02-01 14:15:00,resistance,1.207706,1.209029,9,24,weak
1997,2021-02-01 15:30:00,resistance,1.207597,1.209029,10,24,weak
2005,2021-02-01 17:30:00,support,1.20553,1.206813,7,24,weak
2018,2021-02-01 20:45:00,support,1.20553,1.206813,8,24,weak
2023,2021-02-01 22:00:00,resistance,1.207597,1.209029,11,24,weak
2039,2021-02-02 02:00:00,resistance,1.207597,1.209029,12,24,weak
2044,2021-02-02 03:15:00,support,1.20553,1.206813,9,24,weak
2046,2021-02-02 03:45:00,support,1.206284,1.208998,16,24,weak
2051,2021-02-02 05:00:00,resistance,1.207597,1.209029,13,24,weak
2095,2021-02-02 16:00:00,support,1.201619,1.202792,3,68,medium
2124,2021-02-02 23:15:00,resistance,1.204761,1.205164,3,70,medium
2142,2021-02-03 03:45:00,support,1.201619,1.202858,4,60,medium
2143,2021-02-03 04:00:00,resistance,1.204099,1.204699,3,80,strong
2152,2021-02-03 06:15:00,support,1.201077,1.202858,5,52,weak
2160,2021-02-03 08:15:00,support,1.200364,1.201289,3,70,medium
2174,2021-02-03 11:45:00,support,1.200265,1.201289,4,66,medium
2184,2021-02-03 14:15:00,support,1.201077,1.202858,6,46,weak
2187,2021-02-03 15:00:00,resistance,1.202836,1.203417,3,68,medium
2191,2021-02-03 16:00:00,support,1.201077,1.202858,7,38,weak
2208,2021-02-03 20:15:00,resistance,1.204099,1.204699,4,60,medium
2297,2021-02-04 18:30:00,support,1.195626,1.195991,3,74,strong
2333,2021-02-05 03:30:00,support,1.195626,1.196049,4,72,strong
2363,2021-02-05 11:00:00,resistance,1.202836,1.203592,4,68,medium
2378,2021-02-05 14:45:00,resistance,1.204675,1.205164,4,58,medium
2390,2021-02-07 17:45:00,resistance,1.204675,1.205164,5,44,weak
2393,2021-02-07 18:30:00,support,1.204501,1.204629,3,80,strong
2394,2021-02-07 18:45:00,support,1.2045,1.20463,4,76,strong
2395,2021-02-07 19:00:00,support,1.204494,1.204636,5,68,medium
2399,2021-02-07 20:00:00,resistance,1.204675,1.205368,6,38,weak
2403,2021-02-07 21:00:00,support,1.201077,1.203085,8,24,weak
2407,2021-02-07 22:00:00,resistance,1.203781,1.204699,5,38,weak
2420,2021-02-08 01:15:00,resistance,1.203781,1.204699,6,32,weak
2427,2021-02-08 03:00:00,support,1.201077,1.203303,9,24,weak
2428,2021-02-08 03:15:00,support,1.201077,1.203317,10,24,weak
2430,2021-02-08 03:45:00,resistance,1.204675,1.205368,7,30,weak
2439,2021-02-08 06:00:00,support,1.201077,1.203317,11,24,weak
2441,2021-02-08 06:30:00,support,1.201077,1.203317,12,24,weak
2445,2021-02-08 07:30:00,resistance,1.203781,1.204699,7,24,weak
2450,2021-02-08 08:45:00,support,1.201077,1.203317,13,24,weak
2464,2021-02-08 12:15:00,support,1.201077,1.203473,14,24,weak
2470,2021-02-08 13:45:00,resistance,1.204675,1.205368,8,30,weak
2488,2021-02-08 18:15:00,resistance,1.204675,1.205368,9,24,weak
2492,2021-02-08 19:15:00,support,1.204494,1.204775,6,58,medium
2506,2021-02-08 22:45:00,resistance,1.207597,1.209029,14,24,weak
2511,2021-02-09 00:00:00,support,1.206284,1.208998,17,24,weak
2522,2021-02-09 02:45:00,support,1.206284,1.208998,18,24,weak
2524,2021-02-09 03:15:00,resistance,1.207597,1.209029,15,24,weak
2528,2021-02-09 04:15:00,support,1.206284,1.208998,19,24,weak
2534,2021-02-09 05:45:00,resistance,1.210461,1.212032,15,24,weak
2540,2021-02-09 07:15:00,support,1.209037,1.209918,7,30,weak
2549,2021-02-09 09:30:00,support,1.206284,1.209158,20,24,weak
2553,2021-02-09 10:30:00,resistance,1.209799,1.210513,6,44,weak
2555,2021-02-09 11:00:00,support,1.206284,1.209158,21,24,weak
2560,2021-02-09 12:15:00,support,1.206284,1.209364,22,24,weak
2565,2021-02-09 13:30:00,resistance,1.210461,1.212032,16,24,weak
2567,2021-02-09 14:00:00,support,1.209831,1.210479,6,38,weak
2574,2021-02-09 15:45:00,resistance,1.210461,1.21217,17,24,weak
2579,2021-02-09 17:00:00,support,1.210649,1.212265,14,24,weak
2582,2021-02-09 17:45:00,resistance,1.210461,1.212255,18,24,weak
2597,2021-02-09 21:30:00,support,1.210649,1.212265,15,24,weak
2608,2021-02-10 00:15:00,resistance,1.212723,1.21512,29,24,weak
2609,2021-02-10 00:30:00,resistance,1.212723,1.21512,30,24,weak
2619,2021-02-10 03:00:00,support,1.211913,1.214436,19,24,weak
2626,2021-02-10 04:45:00,resistance,1.212723,1.21512,31,24,weak
2629,2021-02-10 05:30:00,support,1.210649,1.212265,16,24,weak
2636,2021-02-10 07:15:00,resistance,1.212723,1.21512,32,24,weak
2642,2021-02-10 08:45:00,support,1.210649,1.212265,17,24,weak
2645,2021-02-10 09:30:00,resistance,1.212723,1.21512,33,24,weak
2651,2021-02-10 11:00:00,resistance,1.212723,1.21512,34,24,weak
2651,2021-02-10 11:00:00,support,1.211913,1.214436,20,24,weak
2659,2021-02-10 13:00:00,support,1.211913,1.214436,21,24,weak
2663,2021-02-10 14:00:00,resistance,1.212723,1.21512,35,24,weak
2677,2021-02-10 17:30:00,support,1.210649,1.212265,18,24,weak
2680,2021-02-10 18:15:00,resistance,1.210461,1.212255,19,24,weak
2687,2021-02-10 20:00:00,resistance,1.210461,1.212255,20,24,weak
2690,2021-02-10 20:45:00,support,1.210649,1.212265,19,24,weak
2715,2021-02-11 03:00:00,resistance,1.212723,1.21512,36,24,weak
2720,2021-02-11 04:15:00,support,1.211711,1.214436,22,24,weak
2724,2021-02-11 05:15:00,resistance,1.212723,1.21512,37,24,weak
2732,2021-02-11 07:15:00,support,1.211711,1.214436,23,24,weak
2739,2021-02-11 09:00:00,resistance,1.212723,1.21512,38,24,weak
2744,2021-02-11 10:15:00,support,1.213036,1.215617,18,24,weak
2753,2021-02-11 12:30:00,support,1.211711,1.214436,24,24,weak
2760,2021-02-11 14:15:00,resistance,1.212723,1.21512,39,24,weak
2770,2021-02-11 16:45:00,resistance,1.212723,1.21512,40,24,weak
2778,2021-02-11 18:45:00,resistance,1.212723,1.21512,41,24,weak
2781,2021-02-11 19:30:00,support,1.211711,1.214436,25,24,weak
2784,2021-02-11 20:15:00,resistance,1.212723,1.21512,42,24,weak
2786,2021-02-11 20:45:00,support,1.211711,1.214436,26,24,weak
2794,2021-02-11 22:45:00,support,1.211711,1.214436,27,24,weak
2807,2021-02-12 02:00:00,resistance,1.212723,1.21512,43,24,weak
2820,2021-02-12 05:15:00,support,1.209037,1.210167,8,24,weak
2825,2021-02-12 06:30:00,resistance,1.210461,1.212255,21,24,weak
2828,2021-02-12 07:15:00,support,1.209037,1.210167,9,24,weak
2833,2021-02-12 08:30:00,resistance,1.210461,1.212255,22,24,weak
2840,2021-02-12 10:15:00,support,1.206284,1.209364,23,24,weak
2852,2021-02-12 13:15:00,resistance,1.212723,1.21512,44,24,weak
2856,2021-02-12 14:15:00,support,1.211711,1.214436,28,24,weak
2865,2021-02-12 16:30:00,support,1.210649,1.212265,20,24,weak
2871,2021-02-14 18:00:00,resistance,1.212572,1.21512,45,24,weak
2876,2021-02-14 19:15:00,resistance,1.212479,1.21512,46,24,weak
2879,2021-02-14 20:00:00,support,1.211617,1.214436,29,24,weak
2894,2021-02-14 23:45:00,resistance,1.212479,1.21512,47,24,weak
2898,2021-02-15 00:45:00,support,1.213036,1.215617,19,24,weak
2903,2021-02-15 02:00:00,resistance,1.212479,1.21512,48,24,weak
2910,2021-02-15 03:45:00,support,1.212979,1.215617,20,24,weak
2912,2021-02-15 04:15:00,resistance,1.212479,1.21512,49,24,weak
2918,2021-02-15 05:45:00,resistance,1.212479,1.21512,50,24,weak
2925,2021-02-15 07:30:00,resistance,1.212479,1.21512,51,24,weak
2928,2021-02-15 08:15:00,support,1.211617,1.214436,30,24,weak
2932,2021-02-15 09:15:00,resistance,1.212479,1.21512,52,24,weak
2935,2021-02-15 10:00:00,support,1.211617,1.214436,31,24,weak
2947,2021-02-15 13:00:00,resistance,1.212479,1.21512,53,24,weak
2954,2021-02-15 14:45:00,support,1.212921,1.215617,21,24,weak
2963,2021-02-15 17:00:00,resistance,1.212479,1.21512,54,24,weak
2969,2021-02-15 18:30:00,support,1.211617,1.214436,32,24,weak
2982,2021-02-15 21:45:00,resistance,1.212479,1.21512,55,24,weak
2989,2021-02-15 23:30:00,resistance,1.212479,1.21512,56,24,weak
2997,2021-02-16 01:30:00,support,1.212921,1.215617,22,24,weak
3006,2021-02-16 03:45:00,support,1.21275,1.215617,23,24,weak
3011,2021-02-16 05:00:00,resistance,1.215287,1.21865,33,24,weak
3024,2021-02-16 08:15:00,resistance,1.215287,1.21865,34,24,weak
3034,2021-02-16 10:45:00,support,1.206284,1.209724,24,24,weak
3039,2021-02-16 12:00:00,resistance,1.212206,1.21512,57,24,weak
3043,2021-02-16 13:00:00,support,1.210238,1.212265,21,24,weak
3050,2021-02-16 14:45:00,resistance,1.210461,1.212255,23,24,weak
3052,2021-02-16 15:15:00,support,1.210238,1.212265,22,24,weak
3058,2021-02-16 16:45:00,resistance,1.210461,1.212255,24,24,weak
3068,2021-02-16 19:15:00,support,1.206284,1.209724,25,24,weak
3075,2021-02-16 21:00:00,support,1.206284,1.209724,26,24,weak
3080,2021-02-16 22:15:00,resistance,1.209764,1.210513,7,24,weak
3085,2021-02-16 23:30:00,support,1.206284,1.209724,27,24,weak
3108,2021-02-17 05:15:00,resistance,1.207597,1.209029,16,24,weak
3111,2021-02-17 06:00:00,support,1.205793,1.209724,28,24,weak
3122,2021-02-17 08:45:00,resistance,1.206443,1.20709,3,62,medium
3126,2021-02-17 09:45:00,support,1.201077,1.203473,15,24,weak
3134,2021-02-17 11:45:00,support,1.201077,1.203473,16,24,weak
3142,2021-02-17 13:45:00,resistance,1.204602,1.205368,10,30,weak
3149,2021-02-17 15:30:00,support,1.201077,1.203513,17,24,weak
3152,2021-02-17 16:15:00,resistance,1.203781,1.204699,8,24,weak
3159,2021-02-17 18:00:00,support,1.203853,1.204118,3,62,medium
3162,2021-02-17 18:45:00,resistance,1.204575,1.205368,11,24,weak
3171,2021-02-17 21:00:00,resistance,1.204575,1.205368,12,24,weak
3175,2021-02-17 22:00:00,support,1.203792,1.204118,4,58,medium
3181,2021-02-17 23:30:00,support,1.201077,1.20363,18,24,weak
3192,2021-02-18 02:15:00,resistance,1.204575,1.205368,13,24,weak
3196,2021-02-18 03:15:00,support,1.201077,1.203755,19,24,weak
3206,2021-02-18 05:45:00,resistance,1.207423,1.209029,17,24,weak
3210,2021-02-18 06:45:00,support,1.205793,1.209724,29,24,weak
3216,2021-02-18 08:15:00,support,1.205793,1.209724,30,24,weak
3221,2021-02-18 09:30:00,resistance,1.207423,1.209155,18,24,weak
3228,2021-02-18 11:15:00,support,1.205793,1.209724,31,24,weak
3230,2021-02-18 11:45:00,resistance,1.207423,1.209155,19,24,weak
3260,2021-02-18 19:15:00,resistance,1.209414,1.209615,3,72,strong
3266,2021-02-18 20:45:00,resistance,1.209764,1.210513,8,24,weak
3272,2021-02-18 22:15:00,support,1.205793,1.209724,32,24,weak
3291,2021-02-19 03:00:00,support,1.205793,1.209724,33,24,weak
3307,2021-02-19 07:00:00,resistance,1.212206,1.21512,58,24,weak
3315,2021-02-19 09:00:00,resistance,1.212206,1.21512,59,24,weak
3321,2021-02-19 10:30:00,support,1.211617,1.214436,33,24,weak
3329,2021-02-19 12:30:00,resistance,1.212206,1.21512,60,24,weak
3337,2021-02-19 14:30:00,support,1.210238,1.212265,23,24,weak
3345,2021-02-19 16:30:00,resistance,1.210461,1.212255,25,24,weak
3348,2021-02-21 17:15:00,support,1.210238,1.212265,24,24,weak
3351,2021-02-21 18:00:00,resistance,1.212206,1.21512,61,24,weak
3357,2021-02-21 19:30:00,support,1.211408,1.214436,34,24,weak
3364,2021-02-21 21:15:00,resistance,1.212206,1.21512,62,24,weak
3370,2021-02-21 22:45:00,support,1.21117,1.214436,35,24,weak
3377,2021-02-22 00:30:00,resistance,1.212206,1.21512,63,24,weak
3380,2021-02-22 01:15:00,support,1.21117,1.214436,36,24,weak
3385,2021-02-22 02:30:00,resistance,1.212206,1.21512,64,24,weak
3391,2021-02-22 04:00:00,resistance,1.212206,1.21512,65,24,weak
3394,2021-02-22 04:45:00,support,1.205793,1.209724,34,24,weak
3404,2021-02-22 07:15:00,resistance,1.212206,1.21512,66,24,weak
